"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\admin-gestion-usuarios\admin-gestion-usuarios.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\admin-gestion-usuarios\admin-gestion-usuarios.component.html", "HTML", 0, 0, 138, 0, 0, 0, 11, 149
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\admin-gestion-usuarios\admin-gestion-usuarios.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\admin-gestion-usuarios\admin-gestion-usuarios.component.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 9, 81
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\canva\canva.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 54, 0, 0, 0, 0, 21, 39, 114
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.html", "HTML", 0, 0, -1, 0, 0, 0, 0, -1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 38, 0, 0, 0, 0, 1, 6, 45
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\login-gestion-usuarios\login-gestion-usuarios.component.css", "PostCSS", 0, 0, 0, 74, 0, 3, 13, 90
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\login-gestion-usuarios\login-gestion-usuarios.component.html", "HTML", 0, 0, 35, 0, 0, 5, 5, 45
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\login-gestion-usuarios\login-gestion-usuarios.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\login-gestion-usuarios\login-gestion-usuarios.component.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 5, 51
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\mostrar-secciones\mostrar-secciones.component.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\reformas-previas\reformas-previas.component.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, -6064, 0, 0, -12, -169, -6245
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\seleccion-secciones\seleccion-secciones.component.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 120, 0, 0, 0, 12, 132
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 305, 0, 0, 0, 0, 11, 13, 329
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 8347, -9347, -2333, 74, 309, 348, 802, -1800
